id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,compression_ratio_pct,latency_ms,original_words,summary_words
18194275,0.07476635514018691,0.2857142857142857,0.1185185185185185,0.009433962264150943,0.037037037037037035,0.015037593984962407,0.04672897196261682,0.17857142857142858,0.07407407407407407,86.95,6.3,797,104
34337476,0.03571428571428571,0.35714285714285715,0.06493506493506494,0.0,0.0,0.0,0.02857142857142857,0.2857142857142857,0.051948051948051945,74.63,4.1000000000000005,536,136
39563678,0.09836065573770492,0.3157894736842105,0.15,0.0,0.0,0.0,0.04918032786885246,0.15789473684210525,0.075,68.23,3.3,192,61
34836996,0.09615384615384616,0.5555555555555556,0.1639344262295082,0.009708737864077669,0.058823529411764705,0.016666666666666666,0.04807692307692308,0.2777777777777778,0.0819672131147541,57.26,3.6,234,100
23156808,0.15454545454545454,0.7391304347826086,0.2556390977443609,0.06422018348623854,0.3181818181818182,0.10687022900763359,0.07272727272727272,0.34782608695652173,0.12030075187969924,76.91,4.2,472,109
38595403,0.06716417910447761,0.2727272727272727,0.10778443113772457,0.007518796992481203,0.03125,0.012121212121212121,0.04477611940298507,0.18181818181818182,0.0718562874251497,52.82,3.4,284,134
35321168,0.09259259259259259,0.6666666666666666,0.16260162601626016,0.037383177570093455,0.2857142857142857,0.06611570247933883,0.05555555555555555,0.4,0.09756097560975609,62.77,5.1000000000000005,282,105
33103763,0.09174311926605505,0.5,0.15503875968992248,0.018518518518518517,0.10526315789473684,0.031496062992125984,0.05504587155963303,0.3,0.0930232558139535,64.03,5.3,303,109
33462376,0.10204081632653061,0.7894736842105263,0.18072289156626506,0.04794520547945205,0.3888888888888889,0.08536585365853658,0.08843537414965986,0.6842105263157895,0.1566265060240964,58.55,3.8,345,143
39064994,0.08860759493670886,0.4666666666666667,0.14893617021276595,0.02564102564102564,0.14285714285714285,0.043478260869565216,0.06329113924050633,0.3333333333333333,0.10638297872340426,40.0,2.4,115,69
35617059,0.10526315789473684,0.5454545454545454,0.1764705882352941,0.035398230088495575,0.19047619047619047,0.05970149253731343,0.07894736842105263,0.4090909090909091,0.1323529411764706,73.32,3.4,416,111
40243246,0.1411764705882353,0.5,0.22018348623853212,0.011904761904761904,0.043478260869565216,0.018691588785046728,0.07058823529411765,0.25,0.11009174311926606,69.78,2.8,268,81
